block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time
4377_163_000,trestle,22,3,66,66.0,21.956850000000003,3.368610999999998,11.744211999999997,6274,3759,0.1263275146484375,0.020931720733642578
4377_166_000,trestle,15,18,270,270.0,15.202950000000001,17.544401999999998,6.079345,12354,7321,0.213714599609375,0.02930140495300293
4377_172_000,trestle,22,8,176,176.0,21.952872,8.322022999999998,5.389651999999998,8488,5071,0.1746063232421875,0.02453160285949707
4377_173_000,trestle,22,3,66,66.0,21.955,3.3686099999999968,11.744215,6178,3667,0.124176025390625,0.018007755279541016
4377_176_000,trestle,15,15,225,225.0,15.202843000000001,15.299052999999999,6.079891,12034,7311,0.2123870849609375,0.03154301643371582
4377_20G,crane,17,61,1037,1037.0,16.95062200000001,61.040006000000005,35.07327,150584,93195,2.4233245849609375,0.3974282741546631
4377_20H,crane,17,61,1037,1037.0,17.05008000000001,61.040052,35.073269999999994,140434,84433,2.22088623046875,0.348499059677124
4377_20J,crane,19,61,1159,1159.0,18.75045800000001,61.037475,35.073307,143705,90210,2.33013916015625,0.33835554122924805
4377_20K,crane,17,61,1037,1037.0,16.886550999999997,61.036934,35.067219,110132,67550,1.819549560546875,0.261216402053833
4377_20L,crane,31,61,1891,1891.0,31.102570000000014,61.043259,21.320127999999997,217363,136859,3.8084564208984375,0.5997457504272461
4377_20N,crane,19,61,1159,1159.0,19.432923000000017,61.055004,35.067217,163209,98628,2.840606689453125,0.406421422958374
4377_20P,crane,21,61,1281,1281.0,21.049132999999983,61.056004,35.067199,190567,116965,3.4563446044921875,0.5142929553985596
4377_20Y,crane,102,61,6222,6222.0,102.495499,61.040231000000006,35.073227,960505,597285,15.5361328125,5.223613262176514
4377_246_000,trestle,22,21,462,462.0,21.835631999999976,20.562507,5.26729,24439,15235,0.510650634765625,0.07582688331604004
4377_256_000,trestle,22,19,418,418.0,21.835631999999976,18.720359,5.267295,21637,13609,0.453369140625,0.05755758285522461
4377_266_000,trestle,22,19,418,418.0,22.031311000000017,18.869705,5.281417,15407,9322,0.29803466796875,0.03806734085083008
4377_276_000,trestle,22,19,418,418.0,22.031311000000017,18.880019,5.288987999999999,15096,9149,0.2947845458984375,0.03868722915649414
4377_286_000,trestle,22,19,418,418.0,21.815428999999995,18.790163,5.299524999999999,13820,8354,0.272705078125,0.03609895706176758
4377_287_000,trestle,22,20,440,440.0,21.970245000000034,20.247591,5.292964,12155,7036,0.242645263671875,0.03412318229675293
4377_296_000,trestle,22,19,418,418.0,21.815155000000004,18.790160999999998,5.299944,13579,8206,0.270355224609375,0.03649139404296875
4377_297_000,trestle,22,31,682,682.0,21.97128299999997,31.146558,5.296267,12519,7279,0.2522735595703125,0.03420209884643555
4377_642_000,trestle,15,4,60,60.0,15.004104999999981,3.6058379999999985,14.337206000000002,9022,5415,0.1626739501953125,0.028238296508789062
4377_643_000,trestle,17,6,102,102.0,16.62307800000002,6.257501999999999,14.343720000000001,13172,8092,0.2435150146484375,0.036614418029785156
4377_646_000,trestle,22,8,176,176.0,21.804290999999978,8.432646000000002,9.172827000000002,12173,7028,0.224365234375,0.03543376922607422
4377_647_000,trestle,22,13,286,286.0,21.817718000000013,13.485140000000001,6.591868999999999,14636,8160,0.3067626953125,0.03795599937438965
4377_652_000,trestle,15,4,60,60.0,15.004104999999981,3.6058309999999985,14.337208999999998,8908,5231,0.15771484375,0.027024507522583008
4377_653_000,trestle,17,6,102,102.0,16.62307800000002,6.257501000000001,14.343723000000004,13310,8047,0.2420806884765625,0.03554368019104004
4377_656_000,trestle,22,8,176,176.0,21.804290999999978,8.432646000000002,9.175489999999996,11962,6822,0.2177276611328125,0.029931068420410156
4377_657_000,trestle,22,13,286,286.0,21.820892000000015,13.485139,6.591873,14465,8094,0.30517578125,0.03538393974304199
4377_666_000,trestle,22,13,286,286.0,21.813354000000004,13.375982,5.298256000000002,12844,7339,0.259307861328125,0.034943580627441406
4377_667_000,trestle,22,20,440,440.0,22.127501999999993,20.045661000000003,5.2982559999999985,13947,8109,0.285247802734375,0.035042524337768555
4377_676_000,trestle,22,13,286,286.0,21.81298800000002,13.375982,5.295542000000001,12645,7291,0.2570037841796875,0.035375356674194336
4377_677_000,trestle,22,20,440,440.0,22.127501999999993,20.060371,5.297768000000001,13645,7971,0.28466796875,0.0365450382232666
4377_686_000,trestle,22,17,374,374.0,21.81384300000002,16.673652000000004,5.274092999999999,15309,9140,0.304656982421875,0.03880643844604492
4377_687_000,trestle,22,25,550,550.0,21.989837000000023,25.301981,5.295428000000001,15897,8795,0.3079833984375,0.03804588317871094
4377_696_000,trestle,22,17,374,374.0,21.81228699999997,16.673650000000002,5.297756,14926,8990,0.297882080078125,0.03664803504943848
4377_697_000,trestle,22,41,902,902.0,21.989837000000023,41.247253,5.298233,16245,9033,0.3140106201171875,0.04021096229553223
4381_20H,crane,22,51,1122,1122.0,21.772109999999998,51.042004000000006,29.809995,107052,67284,2.0084686279296875,0.25858378410339355
4383_169_000,trestle,22,4,88,88.0,21.800689999999996,3.5319010000000013,13.104913,7391,4390,0.137542724609375,0.022246599197387695
4383_179_000,trestle,22,4,88,88.0,21.800689999999996,3.530669000000003,13.104913999999997,7205,4319,0.134918212890625,0.02283763885498047
4383_20A,crane,19,51,969,969.0,18.834609999999998,51.042004000000006,29.817922,84814,54587,1.680633544921875,0.20729780197143555
4383_20B,crane,21,51,1071,1071.0,21.350630999999993,51.032962,29.814996,92691,59354,1.7462158203125,0.22674942016601562
