🚀 2D BLOCK PROCESSING REPORT
==================================================

📊 PROCESSING STATISTICS
------------------------------
Total files: 446
Successful: 446
Failed: 0
Skipped: 0
Success rate: 100.0%

📦 PROCESSED BLOCKS
------------------------------
4387_638_000         | trestle  | 11× 3 |  33 cells | 1.5s
4387_639_000         | trestle  |  8× 3 |  24 cells | 1.5s
4387_644_000         | trestle  | 11× 9 |  99 cells | 1.5s
4387_654_000         | trestle  | 11× 9 |  99 cells | 1.5s
4387_664_000         | trestle  | 11× 9 |  99 cells | 1.6s
4387_674_000         | trestle  | 11× 9 |  99 cells | 1.6s
4387_682_000         | trestle  | 10× 5 |  50 cells | 1.5s
4387_683_000         | trestle  | 11× 8 |  88 cells | 1.5s
4387_692_000         | trestle  | 10× 5 |  50 cells | 1.4s
4387_693_000         | trestle  | 11× 8 |  88 cells | 1.6s
4388_126_000         | trestle  |  7× 3 |  21 cells | 1.4s
4388_136_000         | trestle  |  7× 3 |  21 cells | 1.3s
4388_149_000         | trestle  |  7× 2 |  14 cells | 1.3s
4388_159_000         | trestle  |  7× 2 |  14 cells | 1.4s
4388_162_000         | trestle  | 11× 2 |  22 cells | 1.4s
4388_172_000         | trestle  | 11× 2 |  22 cells | 1.5s
4388_20F             | crane    |  9×26 | 234 cells | 2.9s
4388_20G             | crane    | 10×26 | 260 cells | 2.4s
4388_20H             | crane    | 17×26 | 442 cells | 3.1s
4388_20K             | crane    | 10×26 | 260 cells | 2.1s
4388_20L             | crane    | 10×26 | 260 cells | 2.5s
4388_20Y             | crane    | 49×26 | 1274 cells | 9.9s
4388_283_000         | trestle  | 11× 7 |  77 cells | 1.5s
4388_293_000         | trestle  | 11× 7 |  77 cells | 1.4s
4388_663_000         | trestle  | 11× 8 |  88 cells | 1.5s
4388_664_000         | trestle  | 11× 9 |  99 cells | 1.4s
4388_673_000         | trestle  | 11× 8 |  88 cells | 1.5s
4388_674_000         | trestle  | 11× 9 |  99 cells | 1.6s
4388_683_000         | trestle  | 11× 8 |  88 cells | 1.5s
4388_693_000         | trestle  | 11× 8 |  88 cells | 1.5s
4389_126_000         | trestle  |  7× 3 |  21 cells | 1.4s
4389_136_000         | trestle  |  7× 3 |  21 cells | 1.5s
4389_149_000         | trestle  |  7× 2 |  14 cells | 1.5s
4389_159_000         | trestle  |  7× 2 |  14 cells | 1.5s
4389_162_000         | trestle  | 11× 2 |  22 cells | 1.5s
4389_172_000         | trestle  | 11× 2 |  22 cells | 1.4s
4389_20F             | crane    |  9×26 | 234 cells | 2.7s
4389_20G             | crane    | 10×26 | 260 cells | 2.4s
4389_20H             | crane    | 17×26 | 442 cells | 2.5s
4389_20K             | crane    | 10×26 | 260 cells | 2.1s
4389_20L             | crane    | 10×26 | 260 cells | 2.4s
4389_20Y             | crane    | 49×26 | 1274 cells | 9.5s
4389_283_000         | trestle  | 11× 7 |  77 cells | 1.5s
4389_293_000         | trestle  | 11× 7 |  77 cells | 1.4s
4389_643_000         | trestle  | 11× 4 |  44 cells | 1.6s
4389_653_000         | trestle  | 11× 4 |  44 cells | 1.5s
4389_663_000         | trestle  | 11× 8 |  88 cells | 1.5s
4389_664_000         | trestle  | 11× 9 |  99 cells | 1.5s
4389_673_000         | trestle  | 11× 8 |  88 cells | 1.5s
4389_674_000         | trestle  | 11× 9 |  99 cells | 1.5s
4389_683_000         | trestle  | 11× 8 |  88 cells | 1.5s
4389_693_000         | trestle  | 11× 8 |  88 cells | 1.5s
4390_126_000         | trestle  |  7× 3 |  21 cells | 1.5s
4390_136_000         | trestle  |  7× 3 |  21 cells | 1.5s
4390_149_000         | trestle  |  7× 2 |  14 cells | 1.5s
4390_159_000         | trestle  |  7× 2 |  14 cells | 1.5s
4390_162_000         | trestle  | 11× 2 |  22 cells | 1.5s
4390_172_000         | trestle  | 11× 2 |  22 cells | 1.6s
4390_20F             | crane    |  9×26 | 234 cells | 2.9s
4390_20G             | crane    | 10×26 | 260 cells | 2.7s
4390_20H             | crane    | 17×26 | 442 cells | 3.0s
4390_20K             | crane    | 10×26 | 260 cells | 2.1s
4390_20L             | crane    | 10×26 | 260 cells | 2.5s
4390_20Y             | crane    | 49×26 | 1274 cells | 9.5s
4390_283_000         | trestle  | 11× 7 |  77 cells | 1.5s
4390_293_000         | trestle  | 11× 7 |  77 cells | 1.6s
4390_643_000         | trestle  | 11× 4 |  44 cells | 1.6s
4390_653_000         | trestle  | 11× 4 |  44 cells | 1.6s
4390_663_000         | trestle  | 11× 8 |  88 cells | 1.5s
4390_664_000         | trestle  | 11× 9 |  99 cells | 1.5s
4390_673_000         | trestle  | 11× 8 |  88 cells | 1.5s
4390_674_000         | trestle  | 11× 9 |  99 cells | 1.5s
4390_683_000         | trestle  | 11× 8 |  88 cells | 1.6s
