block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time
4383_629_000,trestle,11,3,33,132.0,21.701827999999978,5.9570219999999985,10.209017,7600,4489,0.1432647705078125,1.4316661357879639
4383_637_000,trestle,8,3,24,96.0,16.10270699999998,5.761002000000001,18.893425,13683,8204,0.2417449951171875,1.4779224395751953
4383_639_000,trestle,11,3,33,132.0,21.701827999999978,5.957052000000001,10.209110000000003,7691,4548,0.140838623046875,1.4649512767791748
4383_642_000,trestle,10,8,80,320.0,20.834626000000014,15.633438,9.360142,18063,10033,0.374847412109375,1.5511269569396973
4383_652_000,trestle,10,8,80,320.0,20.83340499999997,15.633363000000001,9.360138,17993,9911,0.3688507080078125,1.5028653144836426
4383_661_000,trestle,10,8,80,320.0,19.676422000000002,15.186968,6.789369000000001,11755,6681,0.2403717041015625,1.4672796726226807
4383_671_000,trestle,10,8,80,320.0,19.676422000000002,15.187176,6.78937,11612,6593,0.241455078125,1.5165760517120361
4384_20F,crane,9,26,234,936.0,18.650588999999997,51.041962,31.815997,102703,64944,1.7246246337890625,2.1147639751434326
4384_20G,crane,9,26,234,936.0,18.652389000000028,51.070004,31.815879,119582,81049,1.9887847900390625,2.207401990890503
4384_20H,crane,19,26,494,1976.0,37.367355,51.035882,22.9905,264153,174047,5.5005645751953125,3.9939162731170654
4384_20K,crane,10,26,260,1040.0,19.053206999999986,51.060002,19.058526999999998,7562,4571,0.14447021484375,1.514676809310913
4384_283_000,trestle,11,7,77,308.0,21.88031000000001,13.187159,6.78603,13930,8201,0.2829132080078125,1.520420789718628
4384_293_000,trestle,11,7,77,308.0,21.88031000000001,13.187159999999999,6.786029999999999,14033,8198,0.283172607421875,1.4256772994995117
4384_683_000,trestle,11,8,88,352.0,21.865967000000012,15.145712,6.792319000000001,15190,9453,0.3128509521484375,1.4473178386688232
4384_693_000,trestle,11,8,88,352.0,21.865967000000012,15.14571,6.7930199999999985,15303,9488,0.3144073486328125,1.588881254196167
4385_161_000,trestle,11,8,88,352.0,21.81088,16.391043000000003,10.655520999999998,20333,12692,0.462677001953125,1.525498628616333
4385_171_000,trestle,11,8,88,352.0,21.81088,16.391,10.655133,19945,12473,0.4532623291015625,1.5261504650115967
4385_20F,crane,1,22,22,88.0,2.7763060000000053,44.312269,29.576622,44332,25094,0.719085693359375,1.6426575183868408
4385_20G,crane,9,26,234,936.0,18.652389000000028,51.070004,31.815879,119549,81049,1.9887542724609375,2.254645347595215
4385_20H,crane,19,26,494,1976.0,37.367355,51.035882,22.9905,230588,143286,4.174163818359375,3.3229944705963135
4385_20K,crane,10,26,260,1040.0,19.46968100000001,51.060002,31.812927000000002,77953,49983,1.43890380859375,1.9994399547576904
4385_20Y,crane,49,26,1274,5096.0,98.06424000000001,51.070004,31.815997,436070,272756,7.6280517578125,5.656112432479858
4385_242_000,trestle,10,10,100,400.0,20.654968000000054,20.15191,6.130477,24149,15425,0.46630859375,1.6445050239562988
4385_252_000,trestle,10,7,70,280.0,20.654968000000054,14.470272000000001,6.128269,15531,9873,0.314697265625,1.5092217922210693
4385_282_000,trestle,10,7,70,280.0,20.676787999999988,13.055691999999999,6.807843999999999,13751,8887,0.266632080078125,1.4780898094177246
4385_292_000,trestle,10,7,70,280.0,20.676787999999988,13.055691999999999,6.806416,13808,8875,0.2634124755859375,1.457826852798462
4385_629_000,trestle,8,3,24,96.0,16.981049000000013,5.7735009999999996,20.910789,13184,8409,0.25927734375,1.488429307937622
4385_639_000,trestle,8,3,24,96.0,16.708054000000004,5.7735009999999996,20.900351,13070,8464,0.26019287109375,1.5049519538879395
4385_642_000,trestle,10,2,20,80.0,20.651184,3.6133500000000005,9.312907,3925,2447,0.0837249755859375,1.4658851623535156
4385_643_000,trestle,11,4,44,176.0,21.862914999999987,8.474853,9.313483999999999,13370,7753,0.2720794677734375,1.543778657913208
4385_644_000,trestle,11,9,99,396.0,21.84609999999998,17.991393,9.335949,22620,13136,0.53802490234375,1.6019809246063232
4385_652_000,trestle,10,2,20,80.0,20.651184,3.6133500000000005,9.313110000000002,3909,2387,0.0800628662109375,1.5084350109100342
4385_653_000,trestle,11,4,44,176.0,21.864806999999985,8.474842000000002,9.313485,13413,7706,0.2684173583984375,1.4819674491882324
4385_654_000,trestle,11,9,99,396.0,21.84609999999998,17.991395,9.335951000000001,22362,12945,0.5365753173828125,1.6809661388397217
4385_682_000,trestle,10,5,50,200.0,20.666472999999996,10.093464999999998,5.880232999999999,10603,6405,0.2228240966796875,1.476144790649414
4385_683_000,trestle,11,8,88,352.0,21.865967000000012,15.145712,6.792319000000001,15196,9452,0.3128204345703125,1.478888750076294
4385_692_000,trestle,10,5,50,200.0,20.666472999999996,10.093497,5.880005000000002,10533,6348,0.21954345703125,1.4252114295959473
4385_693_000,trestle,11,8,88,352.0,21.865967000000012,15.14571,6.7930199999999985,15291,9484,0.314208984375,1.4924087524414062
4386_183_000,trestle,1,11,11,44.0,2.538214,21.29243,7.875913000000001,4677,2761,0.106719970703125,1.4461288452148438
4386_193_000,trestle,1,10,10,40.0,2.538214,19.592431,7.875847,4144,2436,0.0960693359375,1.3966960906982422
4386_20A,crane,108,255,27540,110160.0,216.70086700000002,510.700043,319.432341,55075,58611,1.3931121826171875,2.118797540664673
4386_20B,crane,10,26,260,1040.0,19.051499000000007,51.070004,26.718911000000002,34178,21433,0.5656585693359375,1.6151878833770752
4386_20C,crane,9,25,225,900.0,18.65146700000001,50.894622,31.814996,81317,48228,1.291046142578125,1.9324448108673096
4386_20D,crane,104,255,26520,106080.0,208.01208500000007,510.700043,318.160059,214782,173254,3.684051513671875,4.718268156051636
4386_20E,crane,10,26,260,1040.0,19.201767000000018,51.070004,29.981004,52130,35874,0.902252197265625,1.8639922142028809
4386_20F,crane,9,22,198,792.0,17.32630900000001,44.316572,29.579034,83986,45541,1.2974853515625,1.8724572658538818
4386_20G,crane,1,22,22,88.0,2.776320999999996,44.316524,29.574496,38810,20122,0.5990447998046875,1.6005923748016357
4386_20H,crane,19,26,494,1976.0,37.367355,51.035882,22.9905,228959,141598,4.096710205078125,3.2624526023864746
4386_20K,crane,10,26,260,1040.0,19.46968100000001,51.060002,31.813015,113104,68390,1.9110107421875,2.2286367416381836
4386_282_000,trestle,10,7,70,280.0,20.676787999999988,13.055691999999999,6.807105000000001,13080,7908,0.24505615234375,1.544213056564331
4386_292_000,trestle,10,7,70,280.0,20.676787999999988,13.055691999999999,6.807106,13088,7935,0.2438812255859375,1.455101728439331
4386_628_000,trestle,11,3,33,132.0,21.063782000000003,5.7735009999999996,23.795231,15841,10209,0.28314208984375,1.4084532260894775
4386_629_000,trestle,8,3,24,96.0,16.708054000000004,5.7735009999999996,20.910862,13038,8285,0.2407989501953125,1.3683829307556152
4386_638_000,trestle,11,3,33,132.0,21.063782000000003,5.7735009999999996,23.795307,16060,10216,0.2886962890625,1.401247501373291
4386_639_000,trestle,8,3,24,96.0,16.708054000000004,5.7735009999999996,20.900351,13006,8332,0.2443084716796875,1.3483011722564697
4386_662_000,trestle,10,3,30,120.0,20.87378000000001,5.942473999999997,5.879999999999999,7954,4840,0.1587066650390625,1.2852771282196045
4386_663_000,trestle,11,8,88,352.0,21.92535399999997,15.758301000000001,6.798166999999999,15655,9046,0.311492919921875,1.3496179580688477
4386_672_000,trestle,10,3,30,120.0,20.87378000000001,5.942474999999998,5.8799990000000015,7977,4823,0.15936279296875,1.4299077987670898
4386_673_000,trestle,11,8,88,352.0,21.924284999999998,15.758299,6.7984100000000005,15663,9039,0.3122406005859375,1.5559239387512207
4386_682_000,trestle,10,5,50,200.0,20.666472999999996,10.093464999999998,5.880232999999999,10609,6384,0.22174072265625,1.4768939018249512
