block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time,deadline
2534_202_000,trestle,21,12,252,252.0,20.500473,11.561776,3.221501,9776,6546,0.2103424072265625,0.0371515750885009,2025-11-26
2534_212_000,trestle,18,18,324,324.0,18.30230800000001,18.267462,3.321001,13770,8573,0.2779998779296875,0.0368731021881103,2025-11-26
2534_221_000,trestle,16,26,416,416.0,15.805015000000004,25.807641,9.046612,24659,16302,0.5612335205078125,0.0631492137908935,2025-11-12
2534_222_000,trestle,21,18,378,378.0,20.507599,17.665499999999998,9.023295,17517,12394,0.394287109375,0.0476000308990478,2025-11-12
2534_224_000,trestle,19,26,494,494.0,18.65053499999999,25.810095,9.049638000000002,21302,14667,0.3820037841796875,0.0481355190277099,2025-10-15
2534_226_000,trestle,15,26,390,390.0,15.250197999999983,25.81068,9.022149,24342,16200,0.4145660400390625,0.0527105331420898,2025-10-15
2534_227_000,trestle,19,26,494,494.0,18.500733,25.810095,9.049638000000002,21218,14657,0.3779449462890625,0.0494470596313476,2025-08-20
2534_229_000,trestle,15,26,390,390.0,15.122130999999996,25.807999,9.03229,25517,16677,0.52783203125,0.061338186264038,2025-08-20
2534_231_000,trestle,16,21,336,336.0,15.805015000000004,20.710331,9.045765,17127,11757,0.4182891845703125,0.049159288406372,2025-07-02
2534_232_000,trestle,21,18,378,378.0,20.507599,17.665501,9.020213,17562,12311,0.3907928466796875,0.0460407733917236,2025-07-02
2534_234_000,trestle,19,21,399,399.0,18.650550999999997,20.715416,9.049642,15978,11305,0.2922210693359375,0.0398869514465332,2025-09-17
2534_236_000,trestle,15,21,315,315.0,15.250182999999993,20.712002,9.022152,19263,13007,0.33001708984375,0.0435531139373779,2025-09-17
2534_239_000,trestle,15,21,315,315.0,15.122130999999996,20.710999,9.032291,19582,13041,0.427520751953125,0.0508840084075927,2025-09-17
2534_241_000,trestle,21,17,357,357.0,20.53311199999999,17.430671,3.2230000000000003,14539,9829,0.291778564453125,0.0371394157409668,2025-12-03
2534_251_000,trestle,21,12,252,252.0,20.528014999999986,12.333519,3.220501,8039,5757,0.1794891357421875,0.0300755500793457,2025-12-03
2534_281_000,trestle,21,13,273,273.0,20.566239,13.36613,8.419939,10828,7070,0.298583984375,0.059237003326416,2025-08-06
2534_282_000,trestle,18,15,270,270.0,18.35569799999999,14.822501,8.676506999999999,11296,6716,0.28717041015625,0.0345809459686279,2025-08-06
